b,nonoverlap_inside_signal,nonoverlap_inside_norm,nonoverlap_outside_signal,nonoverlap_outside_norm,overlap_inside_signal,overlap_inside_norm,overlap_outside_signal,overlap_outside_norm
0.0,2652.0,1.0,7348.0,1.0,2652.0,1.0,7348.0,1.0
0.1,2504.673113933805,0.9444468755406504,5999.404500491389,0.8164676783466779,2504.6730920562013,0.944446867291177,5999.404484291582,0.8164676761420225
0.2,2372.385043935811,0.894564496205057,4921.571804062737,0.6697838601065238,2372.3850632520944,0.8945645034887234,4921.571838661828,0.6697838648151644
0.3,2244.2516209753358,0.8462487258579697,4029.6494192582395,0.5484008463878932,2245.5181891431926,0.8467263156648539,4023.2074826244775,0.5475241538683284
0.4,2112.3897269926965,0.7965270463773365,3246.244831127094,0.4417861773444603,2112.3897787805336,0.7965270659051785,3246.244819968903,0.44178617582592583
0.5,2016.3399497471237,0.7603091816542699,2662.0042200008515,0.36227602340784587,2016.339585524468,0.7603090443154102,2662.0048917633617,0.36227611482898225
0.6,1910.6830104675075,0.7204687068127856,2165.8050916675056,0.29474756282900183,1909.4029445307117,0.7199860273494388,2198.612131436828,0.29921232055482144
0.7,1783.2048146321933,0.6724000055174183,1727.5749022173752,0.23510817939811857,1783.204946249883,0.6724000551470147,1727.5750318481423,0.23510819703975808
0.8,1686.539875159392,0.6359501791702081,1394.7644252152809,0.1898155178572783,1686.5398342633073,0.6359501637493618,1394.7644528576373,0.18981552161916673
0.9,1627.155714852714,0.6135579618599978,1155.122730767998,0.1572023313511157,1627.155923006884,0.6135580403495038,1155.123036193285,0.1572023729168869
1.0,1542.2743312261073,0.5815514069480042,932.6413893410836,0.1269245222293255,1542.274573641568,0.581551498356549,932.6418850604664,0.1269245896924968
