b,inside_signal,inside_norm,outside_signal,outside_norm
0.0,2694.0,1.0,7306.0,1.0
0.1,2449.069011293851,0.9090827807326841,6008.249467630958,0.8223719501274237
0.2,2233.421045744261,0.8290352805286789,4930.8913151593715,0.6749098433013101
0.3,2040.067304290836,0.7572632903826415,4049.2217565380024,0.5542323783928281
0.4,1876.638000329347,0.6965991092536552,3323.7041289577646,0.45492802203090127
0.5,1713.9129679006621,0.6361963503714411,2680.2313245383725,0.3668534525784797
0.6,1570.0811071996325,0.5828066470674211,2182.0506918620017,0.29866557512482916
0.7,1439.633837601138,0.5343852403864655,1814.0480557664737,0.24829565504605444
0.8,1322.0571025026038,0.49074131496013507,1484.9388415598921,0.20324922550778704
0.9,1222.4727863278101,0.45377608995093177,1215.0312041772293,0.16630594089477543
1.0,1129.663360946878,0.4193256722148767,993.794798305089,0.13602447280387203
