TE,direction_name,gradient_x,gradient_y,gradient_z,manual_timestep_ms,n_inside_spins,inside_ADC,inside_intercept
40,x,1.0,0.0,0.0,0.01,107,0.7445373794461306,-0.003197228721861678
40,y,0.0,1.0,0.0,0.01,107,0.36438849861735534,-0.009569347168166958
40,z,0.0,0.0,1.0,0.01,107,0.2963715481776297,-0.0090533688095428
