cell_swc_name,neuromelanin_swc_name,TE,TR,diffusivity,global_R1,global_R2,cell_R1_inside,nm_R1_inside,nspins,skip_TR,total_signal,inside_cell_signal,outside_cell_signal,inside_neuromelanin_signal,total_nspins,inside_cell_nspins,outside_cell_nspins,inside_neuromelanin_nspins
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,3,25,1.0,0.0005,0.3333333333333333,0.0005,0.0005,50000,20,262.5627756228779,57.34655837983257,205.21621724307232,29.701728805827052,50000,5083,44917,2490
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,3,25,1.0,0.0005,0.3333333333333333,0.0005,0.001,50000,20,273.6461654313328,68.42994818833719,205.21621724307232,36.719842558939426,50000,5083,44917,2490
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,3,25,1.0,0.0005,0.3333333333333333,0.0005,1.0,50000,20,1783.0002084571584,1577.7839912130037,205.21621724307232,860.3465362274984,50000,5083,44917,2490
