TE,direction_name,gradient_x,gradient_y,gradient_z,b,manual_timestep_ms,n_inside_spins,inside_signal,inside_normalized_signal,inside_ln_S_over_S0,inside_fitted_ln_S_over_S0
40,x,1.0,0.0,0.0,0.0,0.01,9375,9375.0,1.0,0.0,-2.552025942851449e-6
40,x,1.0,0.0,0.0,0.1,0.01,9375,9285.420784740078,0.9904448837056082,-0.00960105931291011,-0.009600558678455091
40,x,1.0,0.0,0.0,0.2,0.01,9375,9196.711412394268,0.9809825506553886,-0.01920060687834542,-0.01919856533096733
40,x,1.0,0.0,0.0,0.3,0.01,9375,9108.863451990168,0.971612101545618,-0.028798626656245465,-0.02879657198347957
40,x,1.0,0.0,0.0,0.4,0.01,9375,9021.868556101845,0.9623326459841968,-0.0383951022402199,-0.03839457863599181
40,x,1.0,0.0,0.0,0.5,0.01,9375,8935.718459973854,0.9531433023972111,-0.04799001685561979,-0.047992585288504044
40,y,0.0,1.0,0.0,0.0,0.01,9375,9375.0,1.0,0.0,-1.0050965760393694e-6
40,y,0.0,1.0,0.0,0.1,0.01,9375,9367.860129282715,0.9992384137901563,-0.0007618763639487876,-0.0007616725343643566
40,y,0.0,1.0,0.0,0.2,0.01,9375,9360.73139391788,0.9984780153512406,-0.0015231440439320357,-0.0015223399721526738
40,y,0.0,1.0,0.0,0.3,0.01,9375,9353.613732775519,0.997718798162722,-0.00228380774200658,-0.002283007409940991
40,y,0.0,1.0,0.0,0.4,0.01,9375,9346.507085149,0.9969607557492267,-0.0030438721328025172,-0.0030436748477293083
40,y,0.0,1.0,0.0,0.5,0.01,9375,9339.411390752848,0.9962038816803038,-0.0038033418635910732,-0.0038043422855176252
